
2024/04/27 (01:42:26) | ===> btop++ v.1.3.2
2024/04/27 (01:42:26) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/04/27 (14:03:07) | ===> btop++ v.1.3.2
2024/04/27 (14:03:07) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/04/27 (14:04:27) | ===> btop++ v.1.3.2
2024/04/27 (14:04:27) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/04/27 (16:29:36) | ===> btop++ v.1.3.2
2024/04/27 (16:29:36) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/04/29 (05:51:27) | ===> btop++ v.1.3.2
2024/04/29 (05:51:27) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/04/29 (09:23:21) | ===> btop++ v.1.3.2
2024/04/29 (09:23:21) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/04/29 (09:39:50) | ===> btop++ v.1.3.2
2024/04/29 (09:39:50) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/04/29 (09:42:46) | ===> btop++ v.1.3.2
2024/04/29 (09:42:46) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/04/30 (05:33:53) | ===> btop++ v.1.3.2
2024/04/30 (05:33:53) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/04/30 (05:40:48) | ===> btop++ v.1.3.2
2024/04/30 (05:40:48) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/17 (22:17:44) | ===> btop++ v.1.3.2
2024/05/17 (22:17:44) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/18 (19:34:10) | ===> btop++ v.1.3.2
2024/05/18 (19:34:10) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/18 (19:34:32) | ===> btop++ v.1.3.2
2024/05/18 (19:34:32) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/18 (22:19:45) | ===> btop++ v.1.3.2
2024/05/18 (22:19:45) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/20 (18:35:05) | ===> btop++ v.1.3.2
2024/05/20 (18:35:05) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/25 (21:00:17) | ===> btop++ v.1.3.2
2024/05/25 (21:00:17) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/26 (15:17:08) | ===> btop++ v.1.3.2
2024/05/26 (15:17:08) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/27 (23:14:53) | ===> btop++ v.1.3.2
2024/05/27 (23:14:53) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/06/04 (19:58:32) | ===> btop++ v.1.3.2
2024/06/04 (19:58:32) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
