
2024/04/27 (01:42:26) | ===> btop++ v.1.3.2
2024/04/27 (01:42:26) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/04/27 (14:03:07) | ===> btop++ v.1.3.2
2024/04/27 (14:03:07) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/04/27 (14:04:27) | ===> btop++ v.1.3.2
2024/04/27 (14:04:27) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/04/27 (16:29:36) | ===> btop++ v.1.3.2
2024/04/27 (16:29:36) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/04/29 (05:51:27) | ===> btop++ v.1.3.2
2024/04/29 (05:51:27) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
