
2024/03/11 (03:51:43) | ===> btop++ v.1.3.2
2024/03/11 (03:51:43) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/11 (22:52:57) | ===> btop++ v.1.3.2
2024/03/11 (22:52:57) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/12 (04:31:30) | ===> btop++ v.1.3.2
2024/03/12 (04:31:30) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/12 (06:32:06) | ===> btop++ v.1.3.2
2024/03/12 (06:32:06) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/12 (06:36:52) | ===> btop++ v.1.3.2
2024/03/12 (06:36:52) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/12 (06:38:16) | ===> btop++ v.1.3.2
2024/03/12 (06:38:16) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/13 (03:59:46) | ===> btop++ v.1.3.2
2024/03/13 (03:59:46) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/03/13 (04:56:40) | ===> btop++ v.1.3.2
2024/03/13 (04:56:40) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2024/03/13 (04:58:01) | INFO: Logger set to INFO
2024/03/13 (04:58:03) | INFO: Logger set to INFO
2024/03/13 (04:58:03) | INFO: Logger set to DEBUG
2024/03/13 (04:58:04) | INFO: Logger set to DEBUG
2024/03/13 (04:58:07) | INFO: Logger set to INFO
2024/03/13 (04:58:07) | INFO: Logger set to DEBUG
2024/03/13 (04:58:08) | INFO: Logger set to DEBUG
2024/03/13 (04:58:45) | DEBUG: Writing new config file
2024/03/13 (04:58:45) | INFO: Quitting! Runtime: 00:02:05

2024/03/13 (04:58:47) | ===> btop++ v.1.3.2
2024/03/13 (04:58:47) | INFO: Logger set to DEBUG
2024/03/13 (04:58:47) | DEBUG: Setting LC_ALL=en_PH.UTF-8
2024/03/13 (04:58:47) | INFO: Running on /dev/pts/0
2024/03/13 (04:58:47) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2024/03/13 (04:58:47) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/03/13 (04:58:47) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/03/13 (04:58:47) | DEBUG: Shared::init() : Initialized.
2024/03/13 (04:58:47) | DEBUG: Loading theme file: /usr/share/btop/themes/ayu.theme
2024/03/13 (04:59:29) | DEBUG: Writing new config file
2024/03/13 (04:59:29) | INFO: Quitting! Runtime: 00:00:42

2024/03/13 (04:59:36) | ===> btop++ v.1.3.2
2024/03/13 (04:59:36) | INFO: Logger set to DEBUG
2024/03/13 (04:59:36) | DEBUG: Setting LC_ALL=en_PH.UTF-8
2024/03/13 (04:59:36) | INFO: Running on /dev/pts/0
